"""","家計外消費支出","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","合計"
"01 農林水産業","217.6356430917781","7123.835668879897","882.0617002254454","198.80988962221215","1013.5041187031077","626.5856048045162","59.703245829881766","69153.86412884314","79275.99999999997"
"02 鉱業","0.9185213983639589","32.65442594072841","4.276092862885353","3.1840501069927516","9.207618845568303","9.366803679075812","1.212225309955937","851.1802618564191","911.9999999999895"
"03 製造業","2508.093767946449","70210.87248185885","11136.383513964356","8432.038470745545","29288.83624582068","4988.390828075327","2950.5763253256914","731251.8083662632","860767.0000000001"
"04 建設","177.44856107382913","9307.680245667483","2621.426680408902","82039.35729273826","86964.62356136067","40.35431229112285","18.60163570333257","6494.507710756435","187664.00000000003"
"05 電力・ガス・水道","463.82993414110194","24892.491588549055","2282.4329987901265","636.9487364032478","1340.5671691538023","98.62014897191526","50.54322847264863","27331.56619551809","57096.999999999985"
"06 商業","5735.725414967022","167271.01106301873","11843.425753584215","7666.905731914019","23693.181868222196","1078.300954707102","212.51349124502602","105522.93572234164","323023.99999999994"
"07 金融・保険","562.4262255514052","102117.96417637219","9611.171777406003","2216.8038539891895","3164.776013465084","107.74267676785675","46.997116342193934","19503.118160106114","137331.00000000003"
"08 不動産","1039.0277152641477","338488.3613867675","8023.239532632445","1529.8958439822654","2895.0240339713628","107.85087046997015","34.625927557178365","15454.974689355153","367573.00000000006"
"09 運輸・郵便","1562.2625142295994","41440.33472636883","7679.927187731878","3693.0799135756934","6411.337970802692","525.2891661153214","104.82026379159258","73911.94825738439","135329.0"
"10 情報通信","835.5968641429263","40792.32346103515","5754.497884466075","2782.7155362596654","13225.13828452408","38.16434152293217","23.20485897392526","20938.358769075225","84389.99999999999"
"11 公務","24.146986578062563","6593.700632668996","166580.67616956984","161.81337604492145","208.0222245924191","4.869753408206358","1.9927531154784583","1507.7781040220577","175083.0"
"12 サ－ビス","35234.315182305785","299742.9753963641","299101.21796494187","14568.567580500077","26001.07517437705","614.4180634625877","293.9481940838944","149011.48244396443","824567.9999999998"
"13 分類不明","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"合　　計","48361.42733069047","1108014.2052534914","525520.737256584","123930.12027588212","194215.2942838387","8239.953524275934","3798.7392657507994","1220933.5228094864","3233014.0"
