"""","家計外消費支出","民間消費支出","一般政府消費支出","県内総固定資本形成公的","県内総固定資本形成民間","在庫純増","調整項","移輸出","合計"
"01 農林水産業","0.002745290416920356","0.08986118962712421","0.011126465768018639","0.002507819385718404","0.012784501219828296","0.007903849901666536","7.531061838372494E-4","0.8723177774968863","1.0"
"02 鉱業","0.0010071506561008434","0.03580529160167629","0.004688698314567325","0.0034912830120534953","0.010096073295579395","0.01027061806916219","0.0013291944188113494","0.933311690632049","1.0"
"03 製造業","0.0029137894086860307","0.08156780229941302","0.012937744492951465","0.009795959267427242","0.0340264394961943","0.005795285864903425","0.0034278455439459123","0.8495351336264786","1.0"
"04 建設","9.455652713031221E-4","0.04959757996028797","0.013968724317977351","0.43716086885464583","0.4634059998793624","2.1503491501365655E-4","9.912202501988962E-5","0.034607104776389896","1.0"
"05 電力・ガス・水道","0.008123542990719337","0.43596846749477314","0.03997465714118302","0.011155555220120987","0.023478767170846147","0.0017272387160781701","8.852168848214203E-4","0.47868655438145785","1.0"
"06 商業","0.017756344466562924","0.5178284308999292","0.036664228520432586","0.023734786678123048","0.07334805422576092","0.003338145013086031","6.578876221117503E-4","0.32667212257399336","1.0"
"07 金融・保険","0.004095406175964676","0.7435900428626614","0.06998544958826484","0.016142049893972873","0.023044877074113512","7.84547383823439E-4","3.422178265809898E-4","0.14201540919461816","1.0"
"08 不動産","0.002826724800962388","0.9208738437991026","0.021827608482212914","0.004162155120159168","0.007876051924301741","2.934134728882975E-4","9.420149890546469E-5","0.042046000901467616","1.0"
"09 運輸・郵便","0.011544181322773385","0.3062191749467507","0.05675004757097058","0.02728964164056258","0.04737593546691908","0.003881571327027625","7.745587700462767E-4","0.5461648889549496","1.0"
"10 情報通信","0.009901609955479637","0.48337864037249867","0.06818933386024502","0.03297447015356874","0.15671451930944522","4.5223772393568167E-4","2.7497166695017493E-4","0.2481142169578769","1.0"
"11 公務","1.3791736820857858E-4","0.037660427526767286","0.9514383245064904","9.242095237397204E-4","0.0011881349108275453","2.7813970563711827E-5","1.1381762452542271E-5","0.008611790430950223","1.0"
"12 サ－ビス","0.04273063614196258","0.36351516842317944","0.3627368730837748","0.017668121465421995","0.03153296656476732","7.451393498930204E-4","3.5648751113782554E-4","0.1807146074598632","1.0"
"13 分類不明","0.009192631899662934","0.20408118965023603","0.06931590959213545","0.06160150864431581","0.07919297637595948","0.0018538897339860883","7.586307218202696E-4","0.574003263381884","1.0"
"平　　　均","0.01163726494324582","0.2596705287155857","0.11655260035147683","0.03761604626939792","0.06051599056365607","0.0034026424703230713","0.001753800935131711","0.5088511257511829","1.0"
